"11/2/2015","DEBIT","AGI*RENTERS/CONDO INS 800-370-1990 FL","55432865304000544885420; 06300; ; ; ; ","-170.7500"
"11/2/2015","DEBIT","DELANO STATION BRE ROLLA MO","25536065305104017430609; 05541; ; ; ; ","-14.9900"
"11/3/2015","DEBIT","STEAMGAMES.COM BELLEVUE WA","25536065307104002610361; 05816; ; ; ; ","-2.0400"
"11/4/2015","DEBIT","STEAMPOWERED.COM BELLEVUE WA","85101595307700423241333; 07994; ; ; ; ","-9.7400"
"11/4/2015","DEBIT","STEAMGAMES.COM BELLEVUE WA","25536065308101006580656; 05816; ; ; ; ","-6.9800"
"11/6/2015","DEBIT","MCDONALD'S F3564 ROLLA MO","05140485309710029990574; 05814; ; ; ; ","-5.6800"
"11/9/2015","DEBIT","SUBWAY 00102772 ROLLA MO","05410195310255171283647; 05814; ; ; ; ","-6.4600"
"11/9/2015","DEBIT","ROLLA BRANCH ROLLA MO","55436875311173114483383; 05814; ; ; ; ","-1.5000"
"11/9/2015","DEBIT","CVS/PHARMACY #10280 ROLLA MO","05436845312000182650667; 05912; ; ; ; ","-3.5400"
"11/10/2015","DEBIT","STEAMPOWERED.COM BELLEVUE WA","85101595313700423249148; 07994; ; ; ; ","-59.9900"
"11/10/2015","DEBIT","GEICO *AUTO 800-841-3000 DC","55432865313000057871766; 06300; ; ; ; ","-93.3300"
